Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
ORB,BRISK,,18.7607,,,,,,,,,,,
ORB,BRISK,,82.8811,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
ORB,BRIEF,,14.6721,,,,,,,,,,,
ORB,BRIEF,,-79.8419,,,,,,,,,,,
ORB,BRIEF,,29.5165,,,,,,,,,,,
ORB,BRIEF,,20.3583,,,,,,,,,,,
ORB,BRIEF,,25.0462,,,,,,,,,,,
ORB,BRIEF,,-48.152,,,,,,,,,,,
ORB,BRIEF,,#NAME?,,,,,,,,,,,
ORB,BRIEF,,53.0301,,,,,,,,,,,
ORB,BRIEF,,#NAME?,,,,,,,,,,,
ORB,BRIEF,,168.345,,,,,,,,,,,
ORB,BRIEF,,17.0883,,,,,,,,,,,
ORB,BRIEF,,24.2831,,,,,,,,,,,
ORB,BRIEF,,13.1358,,,,,,,,,,,
ORB,BRIEF,,17.3568,,,,,,,,,,,
ORB,BRIEF,,8.34236,,,,,,,,,,,
ORB,BRIEF,,10.9531,,,,,,,,,,,
ORB,BRIEF,,13.442,,,,,,,,,,,
ORB,BRIEF,,22.8244,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
ORB,FREAK,,13.209,,,,,,,,,,,
ORB,FREAK,,#NAME?,,,,,,,,,,,
ORB,FREAK,,12.025,,,,,,,,,,,
ORB,FREAK,,11.2797,,,,,,,,,,,
ORB,FREAK,,-324.811,,,,,,,,,,,
ORB,FREAK,,10.6765,,,,,,,,,,,
ORB,FREAK,,127.339,,,,,,,,,,,
ORB,FREAK,,8.91581,,,,,,,,,,,
ORB,FREAK,,12.03,,,,,,,,,,,
ORB,FREAK,,#NAME?,,,,,,,,,,,
ORB,FREAK,,7.86174,,,,,,,,,,,
ORB,FREAK,,47.5656,,,,,,,,,,,
ORB,FREAK,,7.04454,,,,,,,,,,,
ORB,FREAK,,54.2226,,,,,,,,,,,
ORB,FREAK,,8.53497,,,,,,,,,,,
ORB,FREAK,,9.37082,,,,,,,,,,,
ORB,FREAK,,7.78738,,,,,,,,,,,
ORB,FREAK,,nan,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
AKAZE,SIFT,,12.8221,,,,,,,,,,,
AKAZE,SIFT,,17.5558,,,,,,,,,,,
AKAZE,SIFT,,15.7144,,,,,,,,,,,
AKAZE,SIFT,,16.1613,,,,,,,,,,,
AKAZE,SIFT,,16.7088,,,,,,,,,,,
AKAZE,SIFT,,18.7649,,,,,,,,,,,
AKAZE,SIFT,,16.1854,,,,,,,,,,,
AKAZE,SIFT,,15.1492,,,,,,,,,,,
AKAZE,SIFT,,17.0137,,,,,,,,,,,
AKAZE,SIFT,,11.8898,,,,,,,,,,,
AKAZE,SIFT,,12.3916,,,,,,,,,,,
AKAZE,SIFT,,11.3633,,,,,,,,,,,
AKAZE,SIFT,,12.5574,,,,,,,,,,,
AKAZE,SIFT,,11.9088,,,,,,,,,,,
AKAZE,SIFT,,12.5044,,,,,,,,,,,
AKAZE,SIFT,,9.75125,,,,,,,,,,,
AKAZE,SIFT,,9.38766,,,,,,,,,,,
AKAZE,SIFT,,8.92443,,,,,,,,,,,
------------------------------------------------,,13.70856889,9.006102417,,,,,,,,,,,
AKAZE,BRISK,,13.4119,,,,,,,,,,,
AKAZE,BRISK,,17.0539,,,,,,,,,,,
AKAZE,BRISK,,14.0557,,,,,,,,,,,
AKAZE,BRISK,,15.013,,,,,,,,,,,
AKAZE,BRISK,,17.15,,,,,,,,,,,
AKAZE,BRISK,,18.6343,,,,,,,,,,,
AKAZE,BRISK,,19.3677,,,,,,,,,,,
AKAZE,BRISK,,16.925,,,,,,,,,,,
AKAZE,BRISK,,20.8427,,,,,,,,,,,
AKAZE,BRISK,,14.8929,,,,,,,,,,,
AKAZE,BRISK,,13.7952,,,,,,,,,,,
